Date,sentiment_score
2020-12-27,0.35191355932203394
2020-12-28,0.2896564516129033
2020-12-29,0.255023943661972
2020-12-30,0.517703191489361
2020-12-31,0.34445238095238107
2021-01-01,0.31986600000000004
2021-01-02,0.3036490196078433
2021-01-03,0.2429492307692309
2021-01-04,0.29093870967741947
2021-01-05,0.39993720930232574
2021-01-06,0.3662895833333335
2021-01-07,0.17694732824427484
2021-01-08,0.23234157303370795
2021-01-09,0.11222816901408447
2021-01-10,0.12709056603773583
2021-01-11,0.10696374999999987
2021-01-12,0.23342470588235273
2021-01-13,0.15774851485148514
2021-01-14,0.16993157894736838
2021-01-15,0.1638789473684211
2021-01-16,0.19540000000000005
2021-01-17,0.09162121212121213
2021-01-18,0.21179019607843136
2021-01-19,0.21059529411764702
2021-01-20,0.18114878048780483
2021-01-21,0.11009906103286397
2021-01-22,0.1196571428571429
2021-01-23,0.12326821705426355
2021-01-24,0.04911728395061728
2021-01-25,0.05117214765100664
2021-01-26,0.07182641284949429
2021-01-27,0.03530869135104617
2021-01-28,0.029477211067517703
2021-01-29,0.06829893730074366
2021-01-30,0.06270997407983286
2021-01-31,0.11559463493940392
2021-02-01,0.050604940739682774
2021-02-02,0.10525394799054395
2021-02-03,0.024847317950254667
2021-02-04,0.0608756273925989
2021-02-05,0.058828207639568836
2021-02-06,0.060925214592274665
2021-02-07,0.08277125748502984
2021-02-08,0.06276867219917003
2021-02-09,0.0625002125398512
2021-02-10,0.07176740914419681
2021-02-11,0.041307779578606166
2021-02-12,-0.06921930261519293
2021-02-13,0.01215446009389667
2021-02-14,0.044961188811188824
2021-02-15,0.07674577114427861
2021-02-16,0.060030598669623084
2021-02-17,0.08499707317073175
2021-02-18,0.033453823152498854
2021-02-19,0.07867699805068233
2021-02-20,0.08815477855477862
2021-02-21,0.10523892405063286
2021-02-22,0.07883255269320841
2021-02-23,0.007129970326409494
2021-02-24,0.032826017624842635
2021-02-25,-0.05815747159918466
2021-02-26,0.13177542942494436
